dia;totals;nous;greus.total;greus.dia;morts.total;morts.dia;altes.total;altes.dia
02/03/2020;15;;;;;;;
03/03/2020;;;;;;;;
04/03/2020;;;;;;;;
05/03/2020;;;;;;;;
06/03/2020;24;9;;;;;;
07/03/2020;;;;;;;;
08/03/2020;;;;;;;;
09/03/2020;;;;;;;;
10/03/2020;124;100;;;;;;
11/03/2020;156;32;;;;;;
12/03/2020;316;135;25;;6;;3;
13/03/2020;509;190;35;;6;;;
14/03/2020;715;206;41;6;8;2;;
15/03/2020;;;;;;;;
16/03/2020;;;;;;;;
17/03/2020;1866;472;65;24;41;33;;
18/03/2020;;;;;;;;
19/03/2020;3270;568;98;33;82;41;82;
20/03/2020;4203;933;312;214;122;40;150;68
21/03/2020;4704;501;449;137;191;69;644;494
22/03/2020;5925;1221;551;102;245;54;728;84
23/03/2020;7864;1939;658;107;339;94;755;27
24/03/2020;9937;2073;781;123;516;177;1274;519
25/03/2020;11592;1655;1021;240;672;156;1697;423
26/03/2020;12940;1348;1187;166;880;208;2384;687
27/03/2020;14263;1323;1324;137;1070;190;3106;722
28/03/2020;15026;763;1391;67;1226;156;3455;349
29/03/2020;16157;1131;1512;121;1410;184;4125;670
30/03/2020;18773;2616;1652;140;1672;262;4996;871
31/03/2020;19991;1218;1769;117;1849;177;5701;735